Sexo y grupos de edad;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ambos sexos;3,516,942;3,581,383;3,645,323;3,712,016;3,775,891;3,838,366;3,904,012;3,969,231;4,036,279;4,100,205;4,163,023;4,254,231;4,344,981;4,438,307;4,527,710;4,615,584;4,703,561;4,791,069;4,881,102;4,967,122;5,051,561;5,133,883;5,215,702;5,299,959;5,380,200;5,458,820;5,533,722;5,608,149;5,684,895;5,757,775;5,829,114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 - 19;340,684;335,804;330,982;326,168;321,359;316,597;310,957;305,343;299,763;294,298;288,881;291,174;293,384;295,513;297,564;299,549;301,986;304,370;306,705;308,995;311,244;311,327;311,361;311,350;311,295;311,201;313,113;315,016;316,910;318,793;320,671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 - 24;548,024;554,753;561,132;569,088;574,732;579,324;585,298;591,212;596,931;602,656;608,347;615,947;623,518;631,077;638,617;646,156;649,103;651,984;654,790;657,526;660,197;664,052;667,854;671,601;675,294;678,935;677,610;676,220;674,770;673,260;671,690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 - 29;529,176;537,652;545,693;554,106;561,593;568,405;576,565;584,336;593,451;599,960;605,472;616,147;626,824;637,516;648,217;658,938;667,680;676,416;685,154;693,886;702,631;706,308;709,923;713,466;716,942;720,351;724,971;729,534;734,048;738,507;742,920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30 - 34;480,754;489,286;497,545;506,037;514,033;521,660;531,118;540,265;549,667;558,151;566,161;577,080;587,678;599,907;609,389;617,768;628,768;639,781;650,813;661,857;672,927;682,001;691,075;700,159;709,241;718,343;722,000;725,600;729,132;732,602;736,006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35 - 39;428,271;435,840;443,313;450,902;458,297;465,507;473,616;481,586;489,648;497,190;504,477;515,067;525,302;535,786;545,199;554,027;564,821;575,316;587,473;596,884;605,206;616,242;627,313;638,418;649,559;660,742;669,851;678,978;688,130;697,295;706,497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 - 44;353,600;364,592;375,663;386,871;398,214;409,695;417,853;425,906;433,986;441,815;449,466;459,053;468,371;477,792;486,524;494,852;505,202;515,217;525,487;534,703;543,347;553,996;564,361;576,396;585,705;593,945;604,845;615,793;626,790;637,829;648,923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45 - 49;270,573;280,677;291,030;301,559;312,633;324,094;335,183;346,425;357,827;369,451;381,265;390,407;399,412;408,505;417,230;425,749;435,211;444,434;453,767;462,448;470,754;481,024;490,985;501,211;510,434;519,120;529,719;540,063;552,037;561,393;569,731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50 - 54;191,978;200,414;209,132;218,032;227,490;237,322;246,506;255,938;265,431;275,421;285,781;296,878;308,112;319,504;331,033;342,682;351,368;359,959;368,656;377,041;385,265;394,381;403,305;412,353;420,840;429,007;438,995;448,728;458,734;467,842;476,482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55 - 59;139,451;144,742;150,141;155,646;161,329;167,144;174,060;181,212;188,464;196,178;204,229;212,970;221,951;231,061;240,595;250,423;260,155;270,030;280,071;290,257;300,571;308,302;315,977;323,768;331,315;338,746;346,975;355,061;363,282;371,032;378,522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 - 64;102,315;103,096;103,816;104,515;105,086;105,584;109,299;113,086;116,936;120,885;124,937;130,881;137,062;143,384;150,100;157,101;163,957;171,016;178,193;185,710;193,476;201,173;209,000;216,976;225,088;233,325;239,560;245,774;252,096;258,246;264,325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
